=========================================================
 [ 종합 RMSE 비교 요약: 거리별(m) ]
=========================================================
Dist(m)    | Prop             | MUSIC            | LSTM             | MLP              | 1D-CNN
      73 | 0.6491           | 43.9878          | 3.1033           | 12.7839          | 18.0660
      74 | 0.6479           | 45.1158          | 3.1258           | 12.7586          | 18.0348
      75 | 0.6490           | 44.3143          | 3.1083           | 12.7303          | 17.9482
      76 | 0.6511           | 44.1708          | 3.1119           | 12.8018          | 17.9664
      77 | 0.6506           | 45.0819          | 3.1014           | 12.7661          | 17.9552
      78 | 0.6506           | 45.2962          | 3.0967           | 12.7143          | 17.8935
      79 | 0.6518           | 44.8350          | 3.1196           | 12.8252          | 17.9322
      80 | 0.6487           | 43.8708          | 3.1882           | 12.9756          | 18.2183
      81 | 0.6445           | 44.7295          | 3.0606           | 12.7211          | 17.7245
      82 | 0.6484           | 43.4846          | 3.1495           | 12.8099          | 17.8961
      83 | 0.6479           | 44.1558          | 3.1222           | 12.8713          | 18.0267
      84 | 0.6507           | 43.8284          | 3.1247           | 12.9199          | 18.1436
      85 | 0.6496           | 44.4358          | 3.1469           | 12.9345          | 18.0515
      86 | 0.6473           | 43.8476          | 3.0954           | 12.9763          | 18.0780
      87 | 0.6486           | 44.3284          | 3.1025           | 12.9267          | 17.9515
      88 | 0.6540           | 44.0429          | 3.1420           | 12.9591          | 17.9855
      89 | 0.6461           | 44.3243          | 3.0881           | 12.9190          | 17.8492
      90 | 0.6492           | 42.8872          | 3.1484           | 13.0093          | 18.0351
      91 | 0.6473           | 44.6448          | 3.0933           | 12.9962          | 17.9112
      92 | 0.6489           | 43.3333          | 3.1448           | 13.0725          | 18.0516
      93 | 0.6513           | 43.6714          | 3.1509           | 13.1054          | 18.1368
      94 | 0.6459           | 44.4812          | 3.0792           | 13.0662          | 17.9289
      95 | 0.6486           | 44.7409          | 3.1011           | 13.0607          | 17.9999
      96 | 0.6494           | 43.8245          | 3.1424           | 13.1383          | 18.1576
      97 | 0.6492           | 44.8844          | 3.0930           | 13.1242          | 17.9830
      98 | 0.6498           | 45.4004          | 3.1576           | 13.1766          | 18.0547
      99 | 0.6528           | 44.3003          | 3.1341           | 13.1071          | 17.9900
     100 | 0.6525           | 43.6860          | 3.1417           | 13.2050          | 18.1376


=========================================================
 [ 종합 RMSE 비교 요약: DOA 오차별(deg) ]
=========================================================
DOA(deg)   | Prop             | LSTM             | MLP              | 1D-CNN
---------------------------------------------------------------------------------------------------------
     0.0 | 0.1950           | 2.9341           | 12.1978          | 17.6511
     0.1 | 0.2629           | 3.0486           | 12.3303          | 17.8979
     0.2 | 0.3539           | 2.9807           | 12.3325          | 17.8345
     0.3 | 0.4571           | 3.0054           | 12.2268          | 17.7389
     0.4 | 0.5561           | 3.0452           | 12.2094          | 17.6567
     0.5 | 0.6542           | 3.1627           | 12.4467          | 18.1279
     0.6 | 0.7469           | 3.1564           | 12.2715          | 17.8515
     0.7 | 0.8431           | 3.2299           | 12.3205          | 17.8383
     0.8 | 0.9401           | 3.2433           | 12.2376          | 17.7919
     0.9 | 1.0450           | 3.3536           | 12.2924          | 17.9002
     1.0 | 1.1466           | 3.3662           | 12.1998          | 17.7313
     1.1 | 1.2567           | 3.4838           | 12.3501          | 17.9422
     1.2 | 1.3662           | 3.5928           | 12.3533          | 18.1046
